smiles,canonical,exp_tg_K,in_training_set,tier1_gc_tg_K,tier2_ml_tg_K,rf,gb,disagreement_K,max_tanimoto,tier1_gc_abs_error,tier2_ml_abs_error
C12=NSN=C1C(=CC=C2C3=CC(=C(S3)C6=CC5=C(C4=C(C=C(S4)[*])[N]5CC(CCCC)CC)S6)CCCCCC)C7=CC(=C(S7)[*])CCCCCC,*c1cc2c(s1)c1sc(-c3sc(-c4ccc(-c5cc(CCCCCC)c(*)s5)c5nsnc45)cc3CCCCCC)cc1n2CC(CC)CCCC,363.15,False,114.51845386863445,322.24369995449626,343.57452673809445,300.912873170898,21.330826783598212,0.5280898809432983,248.63154613136552,40.90630004550371
C12=NSN=C1C(=CC=C2C3=CC5=C(C=C3)C4=C(C=C(C=C4)[*])C5(CCCCCCCC)CCCCCCCC)[*],*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(*)c4nsnc34)ccc1-2,385.15,False,276.0127160951945,369.89904778138106,361.1559398412692,378.64215572149294,8.743107940111884,0.6200000047683716,109.13728390480549,15.25095221861892
C1(=CC3=C(C=C1)C2=C(C=C(C=C2)[*])C3(CCCCCCCC)CCCCCCCC)C5=CC=C(C4=CC=C([*])S4)S5,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(-c4ccc(*)s4)s3)ccc1-2,375.15,False,204.92210970296227,368.6656327207998,369.15553953907096,368.17572590252865,0.4899068182711517,0.7857142686843872,170.2278902970377,6.484367279200171
C1(=CC3=C(C=C1)C2=C(C=C(C=C2)[*])C3(CCCCCCCC)CCCCCCCC)C4=CC=C(C=C4)N(C5=CC=C(C=C5)[*])C6=CC=C(C=C6)C(CC)C,*c1ccc(N(c2ccc(-c3ccc4c(c3)C(CCCCCCCC)(CCCCCCCC)c3cc(*)ccc3-4)cc2)c2ccc(C(C)CC)cc2)cc1,413.15,False,318.7240573441696,386.192828084383,375.39899039682473,396.9866657719412,10.793837687558238,0.6800000071525574,94.4259426558304,26.957171915616982
C6=C(C5=C(C=C(C1=C(C(=C(C2=NSN=C12)C4=CC(=C(C3=CC=C(S3)[*])S4)CC(CCCCCCCCCC)CCCCCCCC)F)F)S5)CC(CCCCCCCC)CCCCCCCCCC)SC(=C6)[*],*c1ccc(-c2sc(-c3c(F)c(F)c(-c4cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c5ccc(*)s5)s4)c4nsnc34)cc2CC(CCCCCCCC)CCCCCCCCCC)s1,301.15,False,137.20463023163447,305.70753784825365,307.75216960955635,303.6629060869509,2.0446317613027247,0.39743590354919434,163.9453697683655,4.5575378482536735
C15=C(C(=C2C(=C1OCC(CC)CCCC)SC(=C2)C3=C4C(=C(S3)[*])C(=C(S4)C(=O)OCC(CC)CCCC)F)OCC(CC)CCCC)SC(=C5)[*],*c1cc2c(OCC(CC)CCCC)c3sc(-c4sc(*)c5c(F)c(C(=O)OCC(CC)CCCC)sc45)cc3c(OCC(CC)CCCC)c2s1,313.15,False,164.3031578168813,308.4867593191492,334.12250922038993,282.8510094179085,25.63574990124073,0.31081080436706543,148.84684218311867,4.663240680850777
C14=CC(=C3C2=C1C(=C(C=C2C(N(C3=O)CC(CCCCCCCC)CCCCCCCCCC)=O)[*])C(N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)=O)C6=CC=C(C5=CC=C([*])S5)S6,*c1ccc(-c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C6=O)C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C4=O)s2)s1,347.15,False,180.0854951340537,357.8903841418095,370.6020144185251,345.1787538650939,12.711630276715596,0.43478259444236755,167.06450486594628,10.7403841418095
C12=CC(=CC=C1\C(C(=O)N2CC(CCCCCCCCCC)CCCCCCCC)=C3\C4=C(N(C3=O)CC(CCCCCCCC)CCCCCCCCCC)C=C(C=C4)C5=CC=C(S5)C6=CC=C(S6)[*])[*],*c1ccc2c(c1)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)/C2=C1/C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)c2cc(-c3ccc(-c4ccc(*)s4)s3)ccc21,338.15,False,212.25950855633116,393.5709167513352,394.0586619146194,393.08317158805096,0.4877451632842167,0.5373134613037109,125.89049144366882,55.4209167513352
C1=C(C(=CC(=C1[*])OC)C=CC2=C(C=C(C(=C2)OCC(CCCC)CC)C=C[*])OC)OC,*C=Cc1cc(OC)c(C=Cc2cc(OC)c(*)cc2OC)cc1OCC(CC)CCCC,386.15,False,305.27847786731013,362.06474787663785,370.0311746031731,354.09832115010266,7.966426726535218,0.9375,80.87152213268985,24.085252123362125
C4(=CC3=C(C=C(C2=CC(=C(C1=C(C=C(S1)[*])CCCCCCCCCCCCCC)S2)CCCCCCCCCCCCCC)S3)S4)[*],*c1cc(CCCCCCCCCCCCCC)c(-c2sc(-c3cc4sc(*)cc4s3)cc2CCCCCCCCCCCCCC)s1,278.15,False,107.87858912066007,315.27443111548865,319.50103930619343,311.0478229247839,4.2266081907047806,0.46296295523643494,170.2714108793399,37.124431115488676
C1(=CC3=C(C=C1)C2=C(C=C(C=C2)[*])C3(CCCCCCCC)CCCCCCCC)C9=CC=C(C4=CC=C(C5=C4N=C(C(=C5)C6=CC=CC=C6)C7=CC=CC=C7)C8=CC=C([*])S8)S9,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(-c4ccc(-c5ccc(*)s5)c5cc(-c6ccccc6)c(-c6ccccc6)nc45)s3)ccc1-2,415.15,False,247.88671468996134,373.329079331317,381.77024259462667,364.88791606800737,8.441163263309647,0.720588207244873,167.26328531003864,41.82092066868296
C1(=CC3=C(C=C1)C2=C(C=C(C=C2)[*])C3(CCCCCCCC)CCCCCCCC)C%11=CC=C(C4=C(C(=C(C5=C4N=C(C(=N5)C6=CC=CC=C6)C7=CC=CC=C7)C8=CC=C([*])S8)C9=CC=CC=C9)C%10=CC=CC=C%10)S%11,*c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1cc(-c3ccc(-c4c(-c5ccccc5)c(-c5ccccc5)c(-c5ccc(*)s5)c5nc(-c6ccccc6)c(-c6ccccc6)nc45)s3)ccc1-2,465.15,False,272.2699684093771,372.2101564150337,355.8677612057379,388.55255162432945,16.342395209295773,0.6764705777168274,192.88003159062288,92.9398435849663
