psmiles,tier2_ml_tg_K,tier1_gc_tg_K,disagreement_K,max_tanimoto_to_training,pri,already_in_training_set,family
*Oc1ccc(C(=O)Oc2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,455.8980353355674,462.0879715586933,1.7985197006473754,0.9411764740943909,0.6114276176333977,False,polyester
*C(=O)c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C(=O)c5ccc(*)cc5)cc4)cc3)cc2)cc1,471.42670595664373,481.62411537948765,0.44293313918410604,0.8717948794364929,0.6051062307035331,False,polysulfone
*Oc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(C(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,467.5755983562876,475.5528900490726,0.1821320693969426,0.8409090638160706,0.6011980051729606,False,polysulfone
*c1ccc(-c2ccc(/C=N/c3cccc(*)c3)cc2)cc1,453.62984808317816,385.790380698731,9.067069083487013,1.0,0.5975655556950756,False,aromatic_hc
*Nc1ccc(C(=O)c2ccc(NC(=O)c3ccc(C(=O)OC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,483.5360120850312,498.24556395790955,1.935216645126303,0.8421052694320679,0.5959695745786241,False,polyamide
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(=O)Oc4cccc(C(*)=O)c4)c3)cc2)cc1,476.0866481326573,470.3049133974458,3.686702118949569,0.8717948794364929,0.5950608004356892,False,polyester
*Oc1ccc(Oc2ccc(OC(=O)c3ccc(-c4ccc(C(=O)Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,479.8627653280367,469.9479296747873,5.798675703707659,0.9117646813392639,0.5945474748024955,False,polyester
*Oc1ccc(-c2ccc(OC(=O)c3ccc(Oc4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,479.8627653280367,470.02433537260265,5.798675703707659,0.9117646813392639,0.5945474748024955,False,polyester
*Oc1ccc(C(=O)NNC(=O)c2ccc(OC(=O)c3ccc(OC(=O)c4ccc(Oc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,465.5858266364361,497.70895233384186,1.6697832237390173,0.7777777910232544,0.5869518066520688,False,polyamide
*C(=O)c1ccc(S(=O)(=O)c2ccc(Oc3ccc(/N=N/c4ccc(C(=O)c5ccc(C(=O)c6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,468.4526983554558,465.16395969760856,0.6336489381942272,0.7555555701255798,0.5867519383650808,False,polysulfone
*Oc1ccc(C(c2ccc(OC(*)=O)cc2)C(F)(Cl)Cl)cc1,456.70811295189327,376.29379650178214,1.5228211264980587,0.7714285850524902,0.5864348477427977,False,fluoropolymer
*C(=O)c1ccc(Oc2ccc(P(=O)(c3ccccc3)c3ccc(*)cc3)cc2)cc1,471.5974395216672,429.5099172010836,1.8987684081703549,0.7777777910232544,0.5862431298437835,False,polyether
*Oc1ccc(S(=O)(=O)c2ccc(S(=O)(=O)c3ccc(C(=O)c4cccc(C(*)=O)c4)cc3)cc2)cc1,477.272590777464,486.8286224509006,3.9127180790521834,0.8157894611358643,0.5858066467686992,False,polysulfone
*Oc1ccc(-c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1[2H],477.60240225223185,469.56035336503555,4.761402468682917,0.8292682766914368,0.5852243062886507,False,polyester
*Oc1ccc(Oc2cccc(NC(=O)c3ccc(Oc4ccc(C(*)=O)cc4)cc3)c2)cc1,480.6576860070907,490.64294891172887,1.04180461339854,0.75,0.5846438029255304,False,polyamide
*Oc1ccc(-c2ccc(OC(=O)Nc3ccc(Oc4ccc(OC(=O)c5cccc(C(*)=O)c5)cc4)cc3)cc2)cc1,481.366978498122,485.712866423442,1.0385777044719475,0.7446808218955994,0.58384086022949,False,polyamide
*Oc1ccc(C=C2CCC(=Cc3ccc(OC(=O)c4cccc(C(*)=O)c4)cc3)CC2)cc1,454.8547137224722,462.15205453512567,2.841841313742549,0.7804877758026123,0.583733822506549,False,polyester
*Nc1ccc(CCc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(C(*)=O)cc4)cc3)cc2)cc1,499.9984445436187,521.373891978913,7.563476889488584,0.8648648858070374,0.581913793308459,False,polyamide
*Oc1ccc(C(C=C(C)C)c2ccc(OC(=O)c3cccc(C(*)=O)c3)cc2)cc1,456.0547040458848,467.248999170202,1.6418509903299423,0.7441860437393188,0.5819011296943086,False,polyester
*Nc1ccc(CCSc2ccc(NC(=O)c3cccc(C(*)=O)c3)cc2)cc1,473.0819656704084,479.3505401038814,1.3141671736774754,0.7346938848495483,0.5814644343507234,False,polyamide
*c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C(=O)c4ccc(C(=O)c5ccc(Oc6ccc(N7C(=O)c8ccc(C(F)(F)C(F)(F)C(F)(F)C(*)(F)F)cc8C7=O)cc6)cc5)cc4)cc3OC)cc1)C2=O,473.14442820368026,328.58142630026805,0.2679666272023269,0.7096773982048035,0.5808757392987337,False,fluoropolymer
*Oc1ccc(C(=O)Nc2ccc(Oc3ccc(C(C)(C)c4ccc(-c5ccc(*)cc5)cc4)cc3)cc2)cc1,494.6446620294762,498.6495014007402,1.5350192633542008,0.7346938848495483,0.5807817755082318,False,polyamide
*Oc1ccc(C(=O)c2ccc(C(=O)c3ccc(Oc4ccc(C(c5ccc(*)cc5)(C(F)(F)F)C(F)(F)F)cc4)cc3)cc2)cc1,451.3235781128284,341.9403132270272,0.7250000572739452,0.7142857313156128,0.5801700224154809,False,fluoropolymer
