hydrogen_capped_molecule,n_polymers,n_distinct_under_methyl_capping,tg_min_K,tg_max_K,tg_spread_K,psmiles
CCCC(=O)OCC,3,3,201.65,430.15,228.49999999999997,[*]C(C)C([*])C(=O)OCC | [*]CCOC(=O)CC([*])C | [*]CC([*])OC(=O)CCC
Oc1ccc2nc(-c3ccc(Oc4ccc(-c5nc6ccccc6nc5-c5ccccc5)cc4)cc3)c(-c3ccccc3)nc2c1,2,2,516.15,710.15,194.0,[*]Oc1ccc2nc(-c3ccc(Oc4ccc(-c5nc6cc([*])ccc6nc5-c5ccccc5)cc4)cc3)c(-c3ccccc3)nc2c1 | [*]Oc1ccc2nc(-c3ccc(Oc4ccc(-c5nc6ccc([*])cc6nc5-c5ccccc5)cc4)cc3)c(-c3ccccc3)nc2c1
CO,2,2,217.0,407.15,190.14999999999998,[*]C([*])O | [*]CO[*]
c1ccccc1,2,2,378.08,551.325,173.24500000000006,[*]c1cccc([*])c1 | [*]c1ccc([*])cc1
COC(=O)C(C)C,2,2,261.15,382.075,120.92500000000001,[*]COC(=O)C([*])(C)C | [*]CC([*])(C)C(=O)OC
c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nccnc6c5)ccc4n3)cc2)cc1,2,2,543.15,655.15,112.0,[*]c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6nc([*])cnc6c5)ccc4n3)cc2)cc1 | [*]c1ccc(Oc2ccc(-c3cnc4cc(Oc5ccc6ncc([*])nc6c5)ccc4n3)cc2)cc1
CCO,2,2,253.65,352.825,99.17499999999998,[*]OC([*])C | [*]CC([*])O
CCC(C)=O,2,2,296.15,388.15,92.0,[*]CC(=O)C([*])C | [*]CC([*])C(C)=O
CCc1ccccc1,4,4,282.15,369.11,86.96000000000004,[*]CCc1cccc([*])c1 | [*]c1ccc(C([*])C)cc1 | [*]CC([*])c1ccccc1 | [*]CCc1ccc([*])cc1
CCCCCCCCCCCCCC,3,3,201.15,283.15,81.99999999999997,[*]=CCCC(=[*])CCCCCCCCCC | [*]CC([*])CCCCCCCCCCCC | [*]CCCCCC([*])CCCCCCCC
CCCC(C)C(=O)OC,2,2,275.05,356.65,81.59999999999997,[*]CC([*])(CCC)C(=O)OC | [*]COC(=O)C([*])(C)CCC
Cc1ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)NC5=O)cc3C2=O)c(C)c1,2,2,578.15,657.15,79.0,[*]c1c(C)ccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c1C | [*]c1cc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N([*])C5=O)cc3C2=O)c(C)cc1C
CCc1ccccc1CC,2,2,298.15,375.0,76.85000000000002,[*]CCc1ccc([*])cc1CC | [*]CC([*])c1ccccc1CC
CCc1ccccc1C,2,2,328.0,404.15,76.14999999999998,[*]CC([*])c1ccccc1C | [*]CCc1ccc([*])cc1C
CCC(=O)NC,2,2,369.15,444.15,75.0,[*]CC([*])C(=O)NC | [*]CNC(=O)C([*])C
c1ccc2[nH]ccc2c1,2,2,338.15,410.15,72.0,[*]c1[nH]c2ccccc2c1[*] | [*]c1cn([*])c2ccccc12
CCCCCCCCCCCC,3,3,197.15,267.15,69.99999999999997,[*]=CCCCCCCCCCCC=[*] | [*]CC([*])CCCCCCCCCC | [*]CCCCCC([*])CCCCCC
CCc1ccccc1Br,2,2,353.15,422.15,69.0,[*]CC([*])c1ccccc1Br | [*]CCc1ccc([*])cc1Br
O=[SH](=O)c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5ccccc5nc4-c4ccccc4)cc3)nc2c1,2,2,550.65,618.15,67.5,[*]c1ccc2nc(-c3ccc(-c4nc5cc(S([*])(=O)=O)ccc5nc4-c4ccccc4)cc3)c(-c3ccccc3)nc2c1 | [*]c1ccc2nc(-c3ccccc3)c(-c3ccc(-c4nc5cc(S([*])(=O)=O)ccc5nc4-c4ccccc4)cc3)nc2c1
CCCCC,4,3,173.075,238.0,64.92500000000001,[*]CCCC([*])C | [*]=CCCCC=[*] | [*]=CCCC(=[*])C | [*]CC([*])CCC
O=C1c2ccccc2C(=O)N1c1ccc(N2C(=O)c3ccccc3C2=O)cc1,2,2,614.15,678.15,64.0,[*]c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)cc1)C2=O | [*]c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4cccc([*])c4C3=O)cc1)C2=O
CCC(C)C,3,3,261.15,322.0,60.85000000000002,[*]CCC([*])(C)C | [*]CC([*])(C)CC | [*]CC([*])C(C)C
C[n+]1ccc(-c2cc[n+](Cc3ccccc3)cc2)cc1,3,3,343.65,401.15,57.5,[*]C[n+]1ccc(-c2cc[n+](Cc3ccc([*])cc3)cc2)cc1 | [*]C[n+]1ccc(-c2cc[n+](Cc3cccc([*])c3)cc2)cc1 | [*]C[n+]1ccc(-c2cc[n+](Cc3ccccc3[*])cc2)cc1
CCOCC,3,3,189.5,246.575,57.07499999999999,[*]CCOC([*])C | [*]CC([*])OCC | [*]CCOCC[*]
CCOC=O,2,2,249.15,305.5,56.349999999999994,[*]CCOC([*])=O | [*]CC([*])OC=O
CCCC(C)C,4,4,253.15,308.35,55.20000000000002,[*]=CC(C)CC(=[*])C | [*]CC([*])(C)CCC | [*]CC([*])CC(C)C | [*]CCCC([*])(C)C
CCc1c(Cl)cccc1Cl,2,2,383.15,438.15,55.0,[*]CC([*])c1c(Cl)cccc1Cl | [*]CCc1c(Cl)cc([*])cc1Cl
